Mainfile,Formula,Entry_id
AminoAcids/lys/Dipeptide/Ca/conf_0416/FHIaims.out,C9CaH19N3O2,-AfIJbLxcnfIWYdoeUfmRARCut-t
AminoAcids/argH/Dipeptide/bare/conf_0371/FHIaims.out,C9H20N5O2,-B93Sef3I4e9TQASJsWeDHKlb7Be
AminoAcids/argH/Dipeptide/Mg/conf_0332/FHIaims.out,C9H20MgN5O2,-B9m2ot6LNHiwWbN5b7FegGdgwUX
AminoAcids/arg/Dipeptide/bare/conf_0882/FHIaims.out,C9H19N5O2,-BIXazKHt7v8egMtYcNZQEtJsXU8
AminoAcids/hisH/Dipeptide/Ca/conf_0084/FHIaims.out,C9CaH15N4O2,-BK4_qA4nCrK3v82cdlUWVZa9aUO
AminoAcids/lysH/Dipeptide/Ba/conf_0091/FHIaims.out,BaC9H20N3O2,-BZMN8zWO_fnV0yTU3UbWE3ys7Cj
AminoAcids/lys/Dipeptide/Ba/conf_0255/FHIaims.out,BaC9H19N3O2,-BhagWs7nyhXQNNyf9zq3bi8F4fu
AminoAcids/arg/Dipeptide/bare/conf_3233/FHIaims.out,C9H19N5O2,-Bju0LVAuBIx4l7e6ul8mlP1yMMe
AminoAcids/lys/Dipeptide/bare/conf_1465/FHIaims.out,C9H19N3O2,-BtMTdgrW3fCHbXb4TPlVeu-ARQA
AminoAcids/lys/Dipeptide/bare/conf_0211/FHIaims.out,C9H19N3O2,-C4Mpp_t8iO-a02tcuVHoMdEk1gp
AminoAcids/arg/Dipeptide/bare/conf_4205/FHIaims.out,C9H19N5O2,-CBsLjf-kPEdO_STiThGcE9-2ISI
AminoAcids/lysH/Dipeptide/Ba/conf_0460/FHIaims.out,BaC9H20N3O2,-CJH-1b_0W9c8DzmTEWjuCT9m9uh
AminoAcids/arg/Dipeptide/Ba/conf_0601/FHIaims.out,BaC9H19N5O2,-CTgIAtrlZJ9mCyCV6HWwQTHh1an
AminoAcids/lys/Dipeptide/Ca/conf_0426/FHIaims.out,C9CaH19N3O2,-CdokdB2OG9zEGxW-s6RgpnWRnYd
AminoAcids/lysH/Dipeptide/bare/conf_0836/FHIaims.out,C9H20N3O2,-Co5J62C0aw7smRoTC05tm-1thiq
AminoAcids/arg/Dipeptide/Ba/conf_0799/FHIaims.out,BaC9H19N5O2,-DDu_ENuhQOyXJb05nCqiojghD24
AminoAcids/argH/Dipeptide/Ba/conf_0511/FHIaims.out,BaC9H20N5O2,-DK0C0SXuMu-n-70nbwYDV2o0fuY
AminoAcids/argH/Dipeptide/Ba/conf_0127/FHIaims.out,BaC9H20N5O2,-DNwKsIID_jVBkZebzq4luYaB9Cz
AminoAcids/argH/Dipeptide/bare/conf_0916/FHIaims.out,C9H20N5O2,-DTCMRqm2-1O19p5fyfhh8fDGwUN
AminoAcids/thr/Dipeptide/bare/conf_0029/FHIaims.out,C7H14N2O3,-DXwWQLTZ9Yqrm_KvM8iwxEPhr-T
AminoAcids/arg/Dipeptide/Ca/conf_0224/FHIaims.out,C9CaH19N5O2,-Dfs0_Qll_q3_7dAc7y2t_w3qQps
AminoAcids/gly/Dipeptide/Mg/conf_0015/FHIaims.out,C5H10MgN2O2,-DtnYa2jHGasaaVYDifCgaAZTnM4
