Mainfile,Formula,Entry_ID,Upload_ID,Total_energy
AminoAcids/trp/Dipeptide/bare/conf_0132/FHIaims.out,C14H17N3O2,-0XM5tjv_EItRncmSG6sOmbB6VxJ,3mF4CEoTReGHEdeR4sFfnw,-23360.952538723
AminoAcids/argH/Dipeptide/Mg/conf_0367/FHIaims.out,C9H20MgN5O2,-0m_VIkMDCAAAa4V5x0HB2P8VRHd,EfDcCKv9S--qBwJjNlNiSA,-26635.939340474
AminoAcids/arg/Dipeptide/bare/conf_2694/FHIaims.out,C9H19N5O2,-0v3070B49JUYO_Xig8H-Sd2tMcN,NJxp4QcKQRSfKpve6zm8zw,-21190.23649153
AminoAcids/arg/Dipeptide/Ca/conf_0388/FHIaims.out,C9CaH19N5O2,-0wg23G2A4iWRUNooKXgIxUhxGBY,REHDiBLURByKg3pMFPmq6w,-39736.30913015
AminoAcids/lysH/Dipeptide/bare/conf_0752/FHIaims.out,C9H20N3O2,-1MVvl1PRSJa9TPQI2in2cTkVuJg,SXdit6b0RtibOeWIk3dulw,-18219.105046044
AminoAcids/arg/Dipeptide/Mg/conf_0113/FHIaims.out,C9H19MgN5O2,-1ReBweObZrvySK_6usCM-bm3zBS,NIDpEFBaRuiPEiQKAUxB7g,-26634.099450421
AminoAcids/arg/Dipeptide/Ca/conf_0434/FHIaims.out,C9CaH19N5O2,-1f0mo6NK5FLsPdZQ18jKFOH96Dq,_H1mhAjDTQm8tfuJmf_h2g,-39736.187407101
AminoAcids/ile/Dipeptide/Mg/conf_0043/FHIaims.out,C9H18MgN2O2,-1mwJne2Jf41b3vP3pyttHOgaelc,OQ7gsl3nS1qCPR-JhXUH0w,-22144.256024504
AminoAcids/aspH/Dipeptide/bare/conf_0169/FHIaims.out,C7H12N2O4,-1pB2_2CY45YpxckTPjbF45wqH10,PCxqtGsNRZugsCeb7VMUfQ,-18628.49559744
AminoAcids/cys/Dipeptide/bare/conf_0141/FHIaims.out,C6H12N2O2S,-2KcQrpNGmuJv8eahqFgo2FJTnzX,vjLfcI6QQhSW3C5sDfsJXw,-24372.565129285
AminoAcids/argH/Dipeptide/bare/conf_0386/FHIaims.out,C9H20N5O2,-2KswpHJFLUXHFAnJFY8R0fyOnsZ,MTSFEw9oS1GRiY0LVMgOYw,-21201.727835188
AminoAcids/arg/Dipeptide/Ba/conf_0370/FHIaims.out,BaC9H19N5O2,-2Pm-bSluRZTtACbmAbzjRbf8Te-,REHDiBLURByKg3pMFPmq6w,-246329.050638285
AminoAcids/lys/Dipeptide/Mg/conf_0152/FHIaims.out,C9H19MgN3O2,-2SdWkySTYT8MZOyZ6-pU-sOVwW3,owe7V8dOR16_uEkisTxo2Q,-23650.800695319
AminoAcids/argH/Dipeptide/Mg/conf_0145/FHIaims.out,C9H20MgN5O2,-2qWQrVsBuoph64zC-WTFa-coCS2,EfDcCKv9S--qBwJjNlNiSA,-26638.012662896
AminoAcids/hisH/Dipeptide/Ca/conf_0072/FHIaims.out,C9CaH15N4O2,-2uUns8jKC7_6Z1kPyA24YFwq7U7,vZFlWi73QF2OmB6W5PKTfQ,-38167.457644095
AminoAcids/argH/Dipeptide/bare/conf_0259/FHIaims.out,C9H20N5O2,-2zKCDKm-_1j8y_2ihWUfui0S43z,KyjKBq5sRSKGLrHAYV9z7A,-21201.847346644
AminoAcids/arg/Dipeptide/Mg/conf_0345/FHIaims.out,C9H19MgN5O2,-35rowRyTMFxVgiiLbGsz6i1Aw24,NIDpEFBaRuiPEiQKAUxB7g,-26632.986199381
AminoAcids/ser/Dipeptide/bare/conf_0065/FHIaims.out,C6H12N2O3,-3GnEhAEQebT6oqMtFlvGqw4q8vH,ZnZLnzQUTbiqfI_XO3s4Aw,-15542.701925968
AminoAcids/lysH/Dipeptide/Ca/conf_0569/FHIaims.out,C9CaH20N3O2,-3X81Ka_Nk2rzFzPPY-ywtmVl-8b,rHuhjknGTUiAfoVvbZzuuA,-36757.90960905
